#,单词,音标,解释,笔记
63,"mogul","英:/məuˈɡʌl,ˈməuɡʌl/ 美:/ˈmoɡəl/","- n. 大人物；巨头；大亨
- 莫卧儿人(16世纪到19世纪印度的穆斯林统治者)
- (供滑雪时跳跃的)小雪丘
Mogul(16世纪征服并统治印度的)莫卧儿人，(尤指 历史上的)蒙古人",
64,"mutiny","英:/'mjuːtɪnɪ/ 美:/'mjutəni/","- n. 兵变；叛乱；暴动
- vi. 参加叛乱；反叛；暴动",
65,"mutineer","英:/mjuːtɪ'nɪə/ 美:/ˌmjutn..ˈɪr/","n. 反叛者,哗变者",
66,"pauper","英:/'pɔːpə/ 美:/'pɔpɚ/","- n. 穷人,贫民,靠救济过活的人
- n. 穷人,贫民
- 贫穷
- n. 穷人,贫民
- 贫穷",
67,"populace","英:/'pɒpjʊləs/ 美:/'pɑpjələs/","n. 百姓, 平民",
68,"proctor","英:/'prɒktə/ 美:/'prɑktɚ/","- n. 代理人；学监
- vt. 监督


时 态:  
proctored, proctoring, proctors 

形容词:  
proctorial

名 词:  
proctorship",
69,"profiteer","英:/prɒfɪ'tɪə/ 美:/ˌprɑfə'tɪrɪŋ/","vi. 投机,牟求暴利

时 态:  
profiteered, profiteering, profiteers",
70,"progeny","英:/'prɒdʒənɪ/ 美:/'prɑdʒəni/","- n. 子孙,后裔,后代
- 结果,结局,成果",
71,"protagonist","英:/prə'tæg(ə)nɪst/ 美:/prə'tæɡənɪst/","- n. (戏剧的)主角
- (故事的)主人公；现实事件(尤指冲突和争端的)主要参与者，主要人物
- 领导者；倡导者；拥护者",
72,"quisling","英:/'kwɪzlɪŋ/ 美:/'kwɪzlɪŋ/","- n. 卖国贼；内奸
- v. 卖国；叛国（quisle的ing形式）",
73,"raconteur","英:/ˌrækɒn'tɜː/ 美:/ˌrækɑn'tɝ/","n. 善于讲轶事的人",
74,"retinue","英:/'retɪnjuː/ 美:/'rɛtənu/","n. 一批随员",
75,"rudder","英:/'rʌdə/ 美:/'rʌdɚ/","n. 舵",
76,"ruffian","英:/'rʌfɪən/ 美:/'rʌfɪən/","- n. 恶棍；无赖；流氓
- adj. 残暴的；凶恶的；无法无天的


名 词:  
ruffianism

形容词:  
ruffianly",
77,"screw","英:/skruː/ 美:/skru/","vt.  旋，拧；压榨；强迫
n.  螺旋；螺丝钉；吝啬鬼
vi.  转动，拧

时 态:  
screwed, screwing, screws 

名 词:  
screwer",
78,"servitude","英:/'sɜːvɪtjuːd/ 美:/'sɝvətud/","n. 奴役(状况)",
79,"hireling","英:/'haɪəlɪŋ/ 美:/'haɪɚlɪŋ/","- n. 雇员,专为金钱而工作者
- adj. 被雇用的",
80,"hothead","英:/'hɒthed/ 美:/'hɑthɛd/","n. 急性子的人; 鲁莽的人",
81,"intelligentsia","英:/ɪn,telɪ'dʒentsɪə/ 美:/ɪn,tɛlɪ'dʒɛntsɪə/","n. (总称)知识界,知识阶层",
82,"masochist","/'mæsəukist/","n. 性受虐狂者,受虐狂者",
83,"padre","英:/'pɑːdreɪ/ 美:/ˈpɑdre/","n. 教士,〈俚〉随军牧师",
84,"skinflint","英:/'skɪnflɪnt/ 美:/'skɪnflɪnt/","n. 吝啬鬼;一毛不拔的人",
85,"supplicant","英:/'sʌplɪkənt/ 美:/'sʌplɪkənt/","- adj. 恳求的
- n. 恳求者",
86,"supplicate","英:/'sʌplɪkeɪt/ 美:/ˈsʌplɪˌket/","- vt. & vi. 祈求,哀求,恳求
- adv. 祈求地,哀求地,恳求地
- n. 祈求,哀求,恳求

时 态:  
supplicated, supplicating, supplicates 

名 词:  
supplication

形容词:  
supplicatory",
87,"technocrat","英:/'teknəukræt/ 美:/ˈtɛknəˌkræt/","n. 技术专家,专家政治论者",
88,"underdog","英:/'ʌndədɒg/ 美:/'ʌndɚdɔɡ/","n. 失败者,受压迫者",
89,"underling","英:/'ʌndəlɪŋ/ 美:/'ʌndɚlɪŋ/","n. 下属,走卒",
90,"votary","英:/'vəʊt(ə)rɪ/ 美:/'votəri/","- n. 崇拜者；出家人
- adj. 立誓任圣职的；誓约的",
91,"aboriginal","英:/æbə'rɪdʒɪn(ə)l/ 美:/ˌæbə'rɪdʒənl/","- adj. (据文献记载)最早就存在的，最早就有的
- (尤指人)从很早的时期就居住于某地的;土著的
- 土著居民的，具有土著人特征的
- (A-)澳洲土著居民的
- n. 土生动物(或植物)
- 土著居民；澳大利亚土著居民
- (某国的)公民
- n. 土著人特征
- adv. 最早就存在；最早就有

副 词:  
aboriginally",
92,"confidant","英:/'kɒnfɪdænt/ 美:/'kɑnfɪdænt/","n. 心腹朋友,知己",
93,"dastard","英:/'dæstəd/ 美:/ˈdæstəd/","- n. 懦夫；卑鄙的人
- adj. 怯懦的；卑劣的",
94,"electorate","英:/ɪ'lekt(ə)rət/ 美:/ɪˈlɛktərɪt/","n. 全体选民",
95,"fag","英:/fæg/ 美:/fæɡ/","v.使疲劳；拆散(绳索的末端)；(英国公学中旧生)强迫(新生)跑腿
n.苦工；苦差事（蔑称）男同性恋者


时 态:  
fagged, fagging, fags",
96,"gnome","英:/nəʊm/ 美:/nom/","n. 格言；箴言；土地神


形容词:  
gnomish",
97,"greenhorn","英:/'griːnhɔːn/ 美:/'grin,hɔrn/","n. 无经验易受骗的人,涉世不深的人",
98,"helot","英:/'helət/ 美:/ˈhɛlət/","n. 农奴(大写时尤指古斯巴达的农奴)

名 词:  
helotry",
99,"imbecile","英:/ˈɪmbəsiːl/ 美:/ˈɪmbəsl/","- n. 低能者；愚蠢的人
- adj. 低能的；愚笨的；虚弱的",
100,"interlocutor","英:/ˌɪntə'lɒkjʊtə/ 美:/ˌɪntɚ'lɑkjətɚ/","n. 参加谈话的人",
101,"interloper","英:/'ɪntələʊpə/ 美:/'ɪntɚlopɚ/","- n. 闯入者
- 干涉他人事务者

动 词:  
interlope",
102,"lackey","英:/'lækɪ/ 美:/ˈlæki/","- n. 男仆；侍从；马屁精
- vt. 奉承；侍候，服侍",
103,"laggard","英:/'lægəd/ 美:/ˈlæɡəd/","n. 落后者

副 词:  
laggardly",
104,"layman","英:/'leɪmən/ 美:/'lemən/","n. 外行；门外汉；俗人；一般信徒",
105,"megalomania","英:/ˌmeg(ə)lə(ʊ)'meɪnɪə/ 美:/ˌmɛɡələ'menɪə/","- n. 妄想自大狂
-  (对浮夸方案的)狂热

名 词:  
megalomaniac",
106,"mountebank","英:/'maʊntɪbæŋk/ 美:/ˈmaʊntəˌbæŋk/","n. 江湖骗子,江湖医生

时 态:  
mountebanked, mountebanking, mountebanks",
107,"neonate","英:/'niːə(ʊ)neɪt/ 美:/'nionet/","n. 新生儿〔哺乳动物〕",
108,"niggard","英:/'nɪgəd/ 美:/'nɪgɚd/","- adj. 吝啬的；小气的
- n. 吝啬鬼
- vt. 行事吝啬
- vi. 吝啬地对待",
109,"nonesuch","英:/'nɒnsʌtʃ/ 美:/'nʌn,sʌtʃ/","- n. 无比的事物;绝品;无双的人
- adj. 无与匹敌的;无与伦比的

形容词:  
nonesuch",
110,"nonpareil","英:/ˌnɒnpə'reɪl/ 美:/ˌnɑnpə'rɛl/","- adj. 无比的,独特的
- n. 无可匹敌的人或物,举世无双的人或物",
111,"pawn","英:/pɔːn/ 美:/pɔn/","- n. (国际象棋中的)兵，卒
- 被人利用的人；小卒
- vt. 典当，抵押
- 以(某事物)担保

时 态:  
pawned，pawning，pawns 

名 词:  
pawnage

名 词:  
pawner",
112,"personage","英:/'pɜːs(ə)nɪdʒ/ 美:/'pɝsənɪdʒ/","n. 人；(尤指)要人，名人",
113,"pesky","英:/'peskɪ/ 美:/'pɛski/","adj. 烦人的；让人讨厌的

比较级:  
peskier，peskiest",
114,"poltroon","英:/pɒl'truːn/ 美:/pɑl'trun/","n. 胆小鬼,懦夫

名 词:  
poltroonery",
115,"polyglot","英:/'pɒlɪglɒt/ 美:/'pɑlɪɡlɑt/","- n. 通晓数种语言的人；用通晓数种语言记载的书
- adj. 通数国语言，数国语言的",
116,"prig","英:/prɪg/ 美:/prɪɡ/","n. 一本正经的人；[俚]小偷


时 态:  
prigged, prigging, prigs  

名 词:  
priggery

形容词:  
priggish",
117,"progenitor","英:/prə(ʊ)'dʒenɪtə/ 美:/pro'dʒɛnɪtɚ/","- n. 祖先
- 先驱,前辈
- 原本,正本",
118,"racketeer","英:/rækɪ'tɪə/ 美:/ˌrækə'tɪr/","n. 干非法勾当者,骗子

时 态:  
racketeered, racketeering, racketeers",
119,"riffraff","英:/'rɪfræf/ 美:/ˈrɪfˌræf/","n. 〈贬〉乌合之众,群氓,〈方〉渣滓",
120,"ruck","英:/rʌk/ 美:/rʌk/","- n. 皱；普通人；大量
- vt. 弄皱
- vi. 变皱


时 态:  
rucked, rucking, rucks",
121,"thrall","英:/θrɔːl/ 美:/θrɔl/","- n. 奴隶；奴仆
- 奴隶般受支配的人；沉湎而不能自拔的人
- 奴隶制
- 奴役；束缚
- 受…控制； 深受…影响

时 态:  
thralled，thralling，thralls",
122,"upstart","英:/'ʌpstɑːt/ 美:/'ʌpstɑrt/","- n. 暴发户, 新贵
- 傲慢自负的人
- adj. 暴富的

时 态:  
upstarted, upstarting, upstarts",
123,"parvenu","英:/'pɑːvənuː/ 美:/'pɑrvənu/","- n. 暴富者,暴发户
- 新贵,傲慢自负的人

形容词:  
parvenu",
124,"valetudinarian","英:/ˌvælɪtjuːdɪ'neərɪən/ 美:/'vælə,tjʊdn'ɛrɪən/","- n. 体弱多病的人,为健康过分担忧的人
- adj. 体弱多病的,为健康过分担忧的

名 词:  
valetudinarianism",
125,"vanguard","英:/'vænɡɑ:d/ 美:/ˈvænɡɑrd/","- n. 尖兵;先头部队；先导
- 先锋;前驱

名 词:  
vanguardism",
126,"shyster","英:/'ʃaɪstə/ 美:/ˈʃaɪstɚ/","n. [美口]讼棍；奸诈之徒（尤指政客）；不择手段的律师",
127,"supernumerary","英:/ˌsuːpə'njuːm(ə)r(ə)rɪ/ 美:/'sʊpɚ'nʊmə'rɛri/","n. 定额以外的人,临时雇工",
128,"pachyderm","英:/'pækɪdɜːm/ 美:/'pækɪdɝm/","- n. 大的厚皮动物(如象和犀牛)
- 厚脸皮的人; 麻木不仁的人; 迟钝的人",
129,"sleeper","英:/'sliːpə/ 美:/'slipɚ/","- n. 睡觉(呈某种状态)的人
- 轨枕;枕木;道木
- 卧车
- 小耳环
- 未料到获得成功的剧、书、人等",
130,"plodder","/'plɑdɚ/","n. 沉重行走的人；辛勤工作的人",
131,"clairvoyant","英:/kleə'vɒɪənt/ 美:/klɛr'vɔɪənt/","- n. 千里眼；有洞察力的人
- adj. 透视的；有洞察力的",
132,"broil","英:/brɒɪl/ 美:/brɔɪl/","- vi. 烤；炙
- vt. 烤；炙
- n. 烤；争吵；灼热


时 态:  
broiled, broiling, broils",
133,"char","英:/tʃɑː/ 美:/tʃɑr/","- vt. 把…烧成炭；把…烧焦
- vi. 烧成炭；烧焦
- 做杂役女佣
- n. 烧焦物；炭
- 杂役女佣
- (尤指家庭的)杂务
- 嘉鱼，红点鲑

时 态:  
charred，charring，chars",
134,"grill","英:/grɪl/ 美:/ɡrɪl/","- vt. 烧，烤；拷问
- vi. 烧，烤；严加盘问
- n. 烤架，铁格子；烤肉


时 态:  
grilled, grilling, grills",
135,"vent","英:/vent/ 美:/vɛnt/","- n. 出口；通风孔；（感情的）发泄
- vt. 发泄感情；放出…；给…开孔
- vi. （通过排泄等）减轻压力；放出


时 态:  
vented, venting, vents 

名 词:  
venter",
136,"modulate","英:/'mɒdjʊleɪt/ 美:/'mɑdʒəlet/","- vt. 调节；调整；（信号）调制
- vi. 调制；转调


时 态:  
modulated, modulating, modulates 

名 词:  
modulability",
137,"ooze","英:/uːz/ 美:/uz/","- vi. (浓液等)慢慢地冒出, 渗出
- vt. 使(液体)缓缓流出
- (浓液)渗出，慢慢流出
- n. 泥浆, (河底的)淤泥

时 态:  
oozed, oozing, oozes",
138,"backwater","英:/'bækwɔːtə/ 美:/'bækwɔtɚ/","- n. 死水, 滞水, 回水
- 闭塞的地方, 不受外界事件或新思想影响的地方",
139,"debouch","英:/dɪ'baʊtʃ/ 美:/dɪ'bʊʃ/","- vi. （河川向广阔处）流出；进出于（广阔地方）
- vt. 使出来；使流注


时 态:  
debouched, debouching, debouches",
140,"osmosis","英:/ɒz'məʊsɪs/ 美:/ɑzˈmosɪs/","n. 渗透；渗透性；渗透作用


形容词:  
osmotic",
141,"spout","英:/spaʊt/ 美:/spaʊt/","- vt. & vi. (指液体)喷出, 涌出
- 滔滔不绝地讲；喋喋不休地说
- n. 管口, 喷口
- 在困难中；被毁灭；丧失掉

时 态:  
spouted, spouting, spouts 

名 词:  
spouter",
142,"sublimate","英:/ˈsʌblɪmeɪt/ 美:/ˈsʌblɪmet/","- vt. 以较符合社会规范的方式使(本能的冲动等)升华
-  (使某物质)升华
- 使净化,纯化
- n. 升华物

时 态:  
sublimated, sublimating, sublimates",
143,"undulate","英:/'ʌndjʊleɪt/ 美:/'ʌndʒə'let/","- vi. 波动；起伏；呈波浪形
- vt. 使波动；使起伏；使成波浪形
- adj. 波状的

时 态:  
undulated，undulating，undulates 

形容词:  
undulatory",
144,"whelm","英:/welm/ 美:/hwɛlm/","- vt. ①使覆没；淹没
- 压倒，压垮

时 态:  
whelmed，whelming，whelms",
145,"seethe","英:/siːð/ 美:/sið/","- vi. (液体)沸腾
- 激动, 大怒

时 态:  
seethed, seething, seethes 

名 词:  
seethe",
146,"oddments","英:/'ɔdməntz/ 美:/ˈ ɑdmənts/","n. 零头，残余物（oddment的复数形式）",
147,"dregs","英:/dregz/ 美:/drɛɡz/","n. 沉淀物；残渣，渣滓",
148,"dross","英:/drɒs/ 美:/drɔs/","n. 浮渣；渣滓；碎屑


形容词:  
drossy",
149,"stump","英:/stʌmp/ 美:/stʌmp/","- n. 树桩；残余部分；假肢
- vt. 砍伐；使为难；在…作巡回政治演说
- vi. 笨重地行走；发表竞选演说


时 态:  
stumped, stumping, stumps 

名 词:  
stumper

形容词:  
stumpy",
150,"broach","英:/brəʊtʃ/ 美:/brotʃ/","- vt. 提出；钻孔；开始讨论；给…开口
- n. 凿子；钻头；胸针（等于brooch）
- vi. [海]突然横转


时 态:  
broached, broaching, broaches 

名 词:  
broacher",
151,"granule","英:/'grænjuːl/ 美:/ˈɡrænjul/","n. 颗粒",
152,"plank","英:/plæŋk/ 美:/plæŋk/","- n. 厚木板；政纲条款；支架
- vt. 在…上铺板；撂下；立刻付款


时 态:  
planked, planking, planks",
153,"trove","英:/trəʊv/ 美:/trov/","n. 被发现的东西；收藏的东西",
154,"appellation","英:/ˌæpə'leɪʃ(ə)n/ 美:/ˌæpə'leʃən/","n. 名称,称号",
155,"denominate","英:/dɪ'nɒmɪneɪt/ 美:/dɪ'nɑmɪnet/","vt. 命名,称呼

时 态:  
denominated, denominating, denominates",
156,"denomination","英:/dɪ,nɒmɪ'neɪʃ(ə)n/ 美:/dɪ,nɑmɪ'neʃən/","- n. 宗派, 教派
- 面额, 单位
- 名称, 种类名, 名目

形容词:  
denominational",
157,"nomenclature","英:/nə(ʊ)'meŋklətʃə/ 美:/nə'mɛnklətʃɚ/","n. 命名法；术语",
158,"caste","英:/kɑːst/ 美:/kæst/","- n. 印度的社会等级
- 任何排他的社会阶层
- 种姓(按照血统、阶级、财富等严格区分的社会制度)",
159,"lofty","英:/'lɒftɪ/ 美:/'lɔfti/","adj. 崇高的；高级的；高的；高傲的


比较级:  
loftier, loftiest 

副 词:  
loftily

名 词:  
loftiness",
160,"vantage","英:/'vɑːntɪdʒ/ 美:/'væntɪdʒ/","n. 优势,有利地位",
161,"bearing","英:/'beərɪŋ/ 美:/'bɛrɪŋ/","- n. 轴承；方位；举止；关系
- v. 忍受（bear的ing形式）",
162,"matrimony","英:/'mætrɪmənɪ/ 美:/'mætrɪmoni/","n. 结婚,婚姻生活

形容词:  
matrimonial",
163,"betroth","英:/bɪ'trəʊð/ 美:/bɪˈtroð/","vt. 将某人许配给, 订婚

时 态:  
betrothed, betrothing, betroths",
164,"conjugal","英:/'kɒndʒʊg(ə)l/ 美:/'kɑndʒəɡl/","adj. 婚姻的；结婚的；夫妻之间的


名 词:  
conjugality",
165,"connubial","英:/kə'njuːbɪəl/ 美:/kəˈnubiəl/","adj. 婚姻的,夫妇的,配偶的

名 词:  
connubiality

副 词:  
connubially",
166,"marital","英:/'mærɪt(ə)l/ 美:/'mærɪtl/","adj. 婚姻的；夫妇间的


副 词:  
maritally",
167,"nuptial","英:/'nʌpʃ(ə)l/ 美:/'nʌpʃl/","- adj. 婚姻的；婚礼的；结婚的
- n. 婚礼",
168,"pugnacity","英:/p ʌ gˈnæsɪtɪ/ 美:/pʌg'næsəti/","n. 好斗;好战",
169,"levy","英:/'levɪ/ 美:/'lɛvi/","- vt. 征收(税收等)
- n. 征收；征税
Levy利维(姓氏)

时 态:  
levied，levying，levies 

名 词:  
levier",
170,"rifle","英:/'raɪf(ə)l/ 美:/'raɪfl/","n. 步枪

时 态:  
rifled, rifling, rifles 

名 词:  
rifler",
171,"clime","英:/klaɪm/ 美:/klaɪm/","n. [诗]气候；地方",
172,"contagion","英:/kən'teɪdʒ(ə)n/ 美:/kən'tedʒən/","- n. 传染,接触传染
- 道德败坏,歪风",
173,"ceremonious","英:/serɪ'məʊnɪəs/ 美:/ˌsɛrəˈmoniəs/","adj. 好礼仪的,讲究礼节的,正式的

副 词:  
ceremoniously",
174,"apotheosis","英:/ə,pɒθɪ'əʊsɪs/ 美:/ə,pɑθɪ'osɪs/","- n. 尊为神圣；神化
- 美化；颂扬
- 顶峰；完美的典型",
175,"epitome","英:/ɪ'pɪtəmɪ/ 美:/ɪ'pɪtəmi/","n. 缩影；摘要；象征",
176,"personification","英:/pə,sɒnɪfɪ'keɪʃ(ə)n/ 美:/pɚ,sɑnɪfɪ'keʃən/","- n. 人格化;拟人化
- 人格化;拟人化;象征;化身
- 极具某品质或特点的人",
177,"quintessence","英:/kwɪn'tes(ə)ns/ 美:/kwɪn'tɛsns/","n. 精华；典范；第五元素（被视为地、水、火、风以外之构成宇宙的元素）",
178,"specimen","英:/'spesɪmɪn/ 美:/'spɛsəmən/","n. 标本；样品，样本",
179,"atypical","英:/eɪ'tɪpɪk(ə)l/ 美:/'e'tɪpɪkl/","adj. 非典型的",
180,"appropriation","英:/ə,prəʊprɪ'eɪʃ(ə)n/ 美:/ə,proprɪ'eʃən/","- n. 拨付,拨发
- 拨款
- 占用,挪用,盗用",
181,"disburse","英:/dɪs'bɜːs/ 美:/dɪsˈbə..s/","vt. 支付；支出


时 态:  
disbursed, disbursing, disburses 

形容词:  
disbursable

名 词:  
disburser",
182,"gratis","英:/'grætɪs/ 美:/ˈɡrætɪs/","- adv. 免费地
- adj. 免费的",
